Start Time,End Time,Speaker,Word,
0,0.2,C,Lighter,3
3,3.181,R,so,
3.281,3.381,R,I,
3.401,3.501,R,had,
3.521,3.681,R,that,
3.721,3.881,R,then,
3.921,3.981,R,as,
4.021,4.061,R,a,
4.081,4.322,R,yes,
4.362,4.542,R,just,
4.582,4.702,R,for,
4.782,4.962,R,using,
5.002,5.062,R,it,
5.102,5.182,R,to,
5.222,5.482,R,start,
5.523,5.603,R,the,
5.643,5.943,R,fire,
6.443,6.543,R,and,
6.603,6.824,R,well,
6.884,7.024,R,I,
7.084,7.264,R,had,
7.424,7.724,R,it,
7.804,7.925,R,as,
7.945,7.965,R,a,
8.005,8.165,R,yes,
8.205,8.265,R,as,
8.285,8.465,R,well,
8.585,8.705,R,but,
8.745,8.945,R,then,
9.206,9.506,R,obviously,
9.546,9.606,R,if,
9.626,9.766,R,we're,
9.786,10.026,R,taking,
10.046,10.126,R,the,
10.166,10.306,R,gun,
10.326,10.487,R,then,
10.587,10.707,R,it's,
10.747,11.087,R,actually,
11.427,11.828,R,the,
12.188,12.588,R,the,
13.109,13.349,R,click,
13.389,13.869,R,the,
14.03,14.25,R,spark,
14.27,14.31,R,of,
14.33,14.39,R,the,
14.41,14.69,R,lighter,
14.89,14.99,R,you,
15.03,15.231,R,can,
15.371,15.651,R,obviously,
15.671,15.751,R,get,
15.791,15.871,R,the,
15.891,16.091,R,same,
16.111,16.271,R,from,
16.311,16.592,R,the,
17.232,17.312,R,the,
17.332,17.492,R,gun,
17.512,17.773,R,barrel,
18.113,18.273,R,um,
18.473,18.713,R,so,
19.534,19.654,R,I'd,
19.674,19.754,R,be,
19.774,20.075,R,inclined,
20.095,20.155,R,to,
20.215,20.375,R,say,
20.435,20.595,R,no,
20.635,20.815,R,now,
20.915,21.035,R,but,
21.055,21.296,R,then,
21.316,21.336,R,I,
23.537,23.658,R,don't,
23.678,23.798,R,know,
23.838,23.918,R,that,
24.278,24.398,R,for,
24.418,24.618,R,me,
24.919,25.079,R,it's,
25.119,25.279,R,like,
25.868,25.988,R,It's,
26.028,26.068,R,a,
26.108,26.228,R,bit,
26.248,26.288,R,of,
26.308,26.368,R,a,
26.388,26.528,R,kind,
26.608,26.708,R,of,
27.009,27.469,R,no-brainer.,
27.489,27.629,R,There's,
27.669,27.789,R,no,
27.829,28.089,R,reason,
28.129,28.269,R,not,
28.289,28.329,R,to,
28.389,28.569,R,take,
28.589,28.629,R,it.,
28.649,28.689,R,It,
28.77,28.95,R,weighs,
29.01,29.35,R,"nothing,",
29.53,29.61,R,you,
29.65,29.79,R,"know,",
29.85,29.91,R,and,
29.93,30.09,R,it,
30.11,30.23,R,might,
30.27,30.39,R,have,
30.43,30.47,R,a,
30.59,31.591,R,use.,
31.611,31.671,C,For,
31.691,31.831,C,that,
31.871,32.111,C,reason,
32.171,32.431,C,only.,
32.732,32.772,C,I,
32.812,32.952,C,"mean,",
33.052,33.152,C,if,
33.212,33.472,C,something,
33.492,33.672,C,did,
33.692,33.892,C,happen,
33.912,33.972,C,to,
34.012,34.092,C,the,
34.112,34.332,C,"gun,",
34.372,34.452,C,at,
34.472,34.593,C,least,
34.613,34.753,C,you've,
34.773,34.853,C,got,
34.893,34.913,C,a,
35.073,35.433,C,backup,
35.493,35.693,C,then.,
35.893,36.473,R,"Yeah,",
36.494,36.614,R,so,
36.674,36.774,R,it's,
36.794,36.934,R,just,
36.974,37.134,R,"like,",
37.314,37.374,R,it,
37.414,37.514,R,just,
37.534,37.694,R,seems,
37.714,37.814,R,like,
37.854,37.914,R,a,
37.954,38.294,R,no-brainer.,
38.314,38.374,R,The,
38.394,38.555,R,only,
38.575,38.695,R,thing,
38.715,38.815,R,that,
38.835,38.955,R,put,
38.975,39.035,R,me,
39.075,39.175,R,off,
39.215,39.515,R,taking,
39.535,39.575,R,it,
39.655,39.715,R,is,
39.755,39.935,R,just,
39.975,40.075,R,the,
40.115,40.315,R,fact,
40.355,40.516,R,that,
40.716,41.036,R,perhaps,
41.076,41.256,R,we're,
41.296,41.456,R,meant,
41.496,41.576,R,to,
41.596,41.696,R,be,
41.756,42.076,R,very,
42.096,43.397,R,economic,
43.417,43.517,R,with,
43.557,43.657,R,our,
43.717,44.077,R,items,
44.137,44.217,R,and,
44.237,44.398,R,just,
44.438,44.678,R,like,
44.718,44.998,R,say,
45.518,45.778,R,no,
45.878,46.138,R,to,
46.379,46.819,R,things,
46.839,46.959,R,that,
47.159,47.359,R,would,
47.459,47.599,R,not,
47.639,47.979,R,potentially,
48.019,48.12,R,have,
48.16,48.2,R,a,
48.34,48.46,R,use.,
49.74,49.86,C,But,
49.92,49.98,C,in,
50,50.461,C,comparison,
50.481,50.581,C,with,
50.621,50.881,C,everything,
50.941,51.081,C,"else,",
51.161,51.221,C,I,
51.241,51.341,C,can't,
51.361,51.481,C,think,
51.501,51.561,C,of,
51.621,51.921,C,anything,
52.142,52.522,C,smaller,
52.542,52.602,C,to,
52.702,52.882,C,take.,
53.295,53.475,R,yeah,
53.515,53.555,R,i,
53.575,53.775,R,mean,
53.875,53.975,R,it's,
54.015,54.235,R,just,
54.255,54.375,R,it's,
54.415,54.655,R,something,
54.695,54.795,R,that,
54.815,55.056,R,will,
55.196,55.336,R,go,
55.396,55.456,R,in,
55.476,55.596,R,your,
55.616,55.976,R,pocket,
56.336,56.416,R,you,
56.456,56.576,R,know,
56.596,56.636,R,it,
56.936,57.056,R,and,
57.156,57.236,R,and,
57.276,57.416,R,you,
57.516,57.756,R,probably,
57.776,57.916,R,won't,
57.956,58.197,R,notice,
58.277,58.357,R,it,
59.477,59.617,R,uh...,
59.877,60.117,R,so,
60.177,60.217,R,i,
60.237,60.357,R,mean,
60.397,60.457,R,i,
60.477,60.557,R,had,
60.597,60.657,R,it,
60.677,60.797,R,done,
60.837,60.937,R,as,
60.957,60.977,R,a,
61.017,61.197,R,yes,
61.257,61.378,R,and,
61.398,61.478,R,i'll,
61.498,61.598,R,be,
61.618,61.918,R,inclined,
61.938,62.018,R,to,
62.038,62.218,R,just,
63.058,63.318,R,key,
63.378,63.478,R,as,
63.518,63.558,R,a,
63.618,63.878,R,yes,
63.938,64.078,R,but,
64.098,64.298,R,like,
64.739,64.839,R,as,
64.939,65.139,R,only,
65.219,65.299,R,as,
65.359,65.399,R,i,
65.439,65.559,R,can,
65.579,65.659,R,have,
65.679,65.859,R,like,
66.079,66.099,R,a,
66.159,66.559,R,backup,
66.599,67.179,R,firestarting,
67.199,67.599,R,device,
68.26,68.5,R,yeah,
68.98,69.3,R,yeah,
69.54,69.78,R,yeah,
69.92,69.98,R,i'd,
70,70.14,R,be,
70.16,70.28,R,quite,
70.3,70.42,R,happy,
70.44,70.48,R,to,
70.5,70.58,R,give,
70.6,70.72,R,you,
70.76,70.84,R,the,
70.86,71,R,yes,
71.1,71.281,R,then,
71.521,71.681,R,yep,
72.181,72.361,R,right,
